YearMonth,NAV (Rs),Monthly Return %,Drawdown %
2019-01,174.7303,-2.237297808413863,-7.44682823319778
2019-02,168.8831,-3.346414445576973,-10.544040943041722
2019-03,183.7462,8.800821396575476,-2.671181757845132
2019-04,182.243,-0.8180849454301642,-3.4674141674492835
2019-05,187.5936,2.935970105847696,-0.6332463050038277
2019-06,185.3163,-1.213953994166106,-1.8395129803574348
2019-07,173.4209,-6.418971239982685,-8.140406411175222
2019-08,170.4405,-1.7185933183370694,-9.719099248844348
2019-09,176.9052,3.792936537970748,-6.2948019774446635
2019-10,194.8943,10.168779662779826,0.0
2019-11,191.7823,-1.5967629633088287,-1.596762963308827
2019-12,185.8283,-3.1045617869845055,-4.651752257505723
2020-01,188.1163,1.2312441108270233,-3.4777825723994966
2020-02,175.1229,-6.907110122833593,-10.144678423124741
2020-03,137.9742,-21.212931033005955,-29.20562581871301
2020-04,161.1409,16.79060288082843,-17.318823587965372
2020-05,165.9327,2.97367086816569,-14.86015753154401
2020-06,182.2576,9.83826575473068,-6.4838735663382625
2020-07,205.3151,12.651049942498972,0.0
2020-08,213.7874,4.1264865565172615,0.0
2020-09,222.9988,4.3086730087928515,0.0
2020-10,224.7245,0.773860666514814,0.0
2020-11,239.6826,6.656194584925101,0.0
2020-12,266.7639,11.298817686390228,0.0
2021-01,264.4555,-0.8653344774161797,-0.8653344774161744
2021-02,285.1341,7.8193117556639935,0.0
2021-03,300.8904,5.5259262220828775,0.0
2021-04,327.1001,8.710713269682246,0.0
2021-05,356.6487,9.033503811218658,0.0
2021-06,359.1634,0.7050915929316393,0.0
2021-07,385.2861,7.2732076820744895,0.0
2021-08,386.1517,0.22466421705844564,0.0
2021-09,404.076,4.641776793938757,0.0
2021-10,405.5452,0.36359496728337604,0.0
2021-11,408.1606,0.6449096179661273,0.0
2021-12,415.2009,1.7248847634975029,0.0
2022-01,416.2018,0.24106402466854693,0.0
2022-02,391.4625,-5.944063672958655,-5.9440636729586505
2022-03,426.6344,8.984743110770532,0.0
2022-04,426.1999,-0.10184363942523644,-0.10184363942523483
2022-05,396.1791,-7.043830840880072,-7.138500786621993
2022-06,372.2802,-6.032347491324009,-12.740229104826062
2022-07,410.8752,10.367191164074807,-3.693841846789668
2022-08,432.5009,5.263325700845423,0.0
2022-09,435.4204,0.6750274970525938,0.0
2022-10,449.0175,3.122752172383292,0.0
2022-11,466.4177,3.8751719030995613,0.0
2022-12,458.5367,-1.6896871623868548,-1.6896871623868537
2023-01,433.0378,-5.560928928916697,-7.156653789082195
2023-02,411.5642,-4.958828074593025,-11.760595706380782
2023-03,412.9692,0.3413805185193297,-11.459363570464848
2023-04,439.1088,6.329673011934056,-5.855030801789908
2023-05,444.9679,1.3343162332433378,-4.598839194996253
2023-06,464.8939,4.478075834234341,-0.3267028674083447
2023-07,494.0329,6.26788176829165,0.0
2023-08,499.6833,1.1437294965578104,0.0
2023-09,510.1892,2.10251173093039,0.0
2023-10,490.7445,-3.8112723671924087,-3.811272367192408
2023-11,529.9207,7.983013564084773,0.0
2023-12,572.6229,8.058224560769167,0.0
2024-01,612.6397,6.988333858111506,0.0
2024-02,617.32,0.763956367829266,0.0
2024-03,617.9561,0.1030421823365435,0.0
2024-04,658.122,6.4997982866420445,0.0
2024-05,648.6462,-1.4398242271189798,-1.4398242271189743
2024-06,628.6589,-3.081387048902773,-4.476844718760343
2024-07,631.8441,0.5066658564763848,-3.9928615059213843
2024-08,649.544,2.801308107490441,-1.3034057515171922
2024-09,649.8691,0.05005049696402697,-1.254007615609257
2024-10,654.1684,0.6615639980420696,-0.6007396804847639
2024-11,624.4168,-4.548003235864051,-5.121421256241243
2024-12,650.7151,4.211657982296457,-1.1254600210903072
